field_1st_author,field_2nd_author,author_fname,author_midname,auth_suffix,author_lname_IDF,affl_email,affl_jaccard,affl_tfidf,affl_softtfidf,affl_dept_jaccard,affl_org_jaccard,affl_location_jaccard,coauth_lname_shared,coauth_lname_idf,coauth_jaccard,coauth_lname_finitial_jaccard,mesh_shared,mesh_shared_idf,mesh_tree_shared,mesh_tree_shared_idf,journal_shared_idf,journal_year,journal_year_diff,abstract_jaccard,title_jaccard,title_bigram_jaccard,title_embedding_cosine,abstract_embedding_cosine,target
li j_no,li j_no,2,0,0,5.050814722600886,0,0.04,25.22574113205715,3.410938129723146,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,5,0,0,0.0,0.0,0.5693987011909485,0,0
li j_no,li j_no,2,0,0,5.050814722600886,0,0.03571428571428571,25.22574113205715,2.896961151271713,0,0,0,1,0.0,0.07142857142857142,0.0,0,0,0,0,0.0,5,0,0,0.0,0.0,0.6534958481788635,0,0
li j_no,li j_no,2,0,0,5.050814722600886,0,0.1379310344827586,69.07958528404279,51.07372251922492,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,4,1,0,0.0,0.0,0.6342712640762329,0,0
zeng y_no,zeng y_no,2,0,0,7.727320089048752,0,0.04411764705882353,153.8832257761297,208.1954020321078,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,4,0,0,0.0,0.0,0.7637300491333008,0,0
chang ch_no,chang ch_no,3,0,0,6.500687581804537,0,0.4117647058823529,189.7126046297121,121.1335689815352,0,0,0,1,9.263800369754012,0.1666666666666667,0.1666666666666667,0,0,0,0,8.62563539105152,5,0,0,0.03846153846153846,0.0,0.8238363265991211,0,1
chang ch_no,chang ch_no,3,0,0,6.500687581804537,0,0.4117647058823529,189.7126046297121,121.1335689815352,0,0,0,1,9.263800369754012,0.3333333333333333,0.3333333333333333,0,0,0,0,8.62563539105152,5,0,0,0.1111111111111111,0.03703703703703703,0.8636807203292847,0,1
chang ch_no,chang ch_no,3,0,0,6.500687581804537,0,0.5,189.7126046297121,121.1335689815352,0,0,0,1,9.263800369754012,0.2,0.2,0,0,0,0,8.62563539105152,5,0,0,0.1304347826086956,0.0,0.8685269951820374,0,1
liu x_no,liu x_no,2,0,0,5.1583835107104,0,0.1071428571428571,70.92150477702377,74.65280240690257,0,0,0,1,0.0,0.1,0.0,0,0,0,0,0.0,4,1,0,0.0,0.0,0.8174366354942322,0,0
lan s_no,lan s_no,2,0,0,8.925538664591436,0,0.05263157894736842,30.36367017869872,30.62149925904034,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,5,0,0,0.0,0.0,0.7122697234153748,0,0
fried nm_no,fried nm_no,3,0,0,9.983984911534211,0,0.32,217.8462832861413,145.6332176621003,0,0,0,1,6.415385473688324,0.1666666666666667,0.1666666666666667,0,0,0,0,8.62563539105152,5,0,0,0.03846153846153846,0.0,0.8238363265991211,0,1
fried nm_no,fried nm_no,3,0,0,9.983984911534211,0,0.4117647058823529,189.7126046297121,121.1335689815352,0,0,0,1,6.415385473688324,0.3333333333333333,0.3333333333333333,0,0,0,0,8.62563539105152,5,0,0,0.1111111111111111,0.03703703703703703,0.8636807203292847,0,1
fried nm_no,fried nm_no,3,0,0,9.983984911534211,0,0.375,217.8462832861413,186.6073740969837,0,0,0,1,6.415385473688324,0.2,0.2,0,0,0,0,8.62563539105152,5,0,0,0.1304347826086956,0.0,0.8685269951820374,0,1
zhang y_no,zhang y_no,2,0,0,4.950053536807215,0,0.04,9.779518691296893,5.183144906387354,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,5,0,0,0.0,0.0,0.6994844675064087,0,0
gupta n_no,gupta n_no,2,0,0,6.731354527420483,0,0.1,33.37815629964368,33.03162535314991,0,0,0,0,0.0,0.0,0.0,0,0,0,0,8.072401986255189,5,0,0,0.0,0.0,0.8387293815612793,0,0
