field_1st_author,field_2nd_author,author_fname,author_midname,auth_suffix,author_lname_IDF,affl_email,affl_jaccard,affl_tfidf,affl_softtfidf,affl_dept_jaccard,affl_org_jaccard,affl_location_jaccard,coauth_lname_shared,coauth_lname_idf,coauth_jaccard,coauth_lname_finitial_jaccard,mesh_shared,mesh_shared_idf,mesh_tree_shared,mesh_tree_shared_idf,journal_shared_idf,journal_year,journal_year_diff,abstract_jaccard,title_jaccard,title_bigram_jaccard,title_embedding_cosine,abstract_embedding_cosine,target
sun s_155,sun s_155,0,0,0,6.288826001935432,0,0.4,485.8675863944462,143.856147943745,0.5,0.5625,0.1818181818181818,0,0.0,0.0,0.0,1,14.00027685542449,0,0.0,0.0,3,2,0.1271186440677966,0.09090909090909091,0.0,0.7079336047172546,0.9555582404136658,1
sun s_155,sun s_155,0,0,0,6.288826001935432,0,0.4,485.8675863944462,143.856147943745,0.5,0.5625,0.1818181818181818,0,0.0,0.0,0.0,1,14.00027685542449,0,0.0,0.0,3,4,0.1176470588235294,0.1428571428571428,0.0,0.6932552456855774,0.9232292175292969,1
sun s_155,sun s_155,0,0,0,6.288826001935432,1,0.5,464.6046516390707,126.8330532909454,0.5,0.5,0.5,1,7.630008133368147,0.1428571428571428,0.1428571428571428,1,14.00027685542449,0,0.0,11.99495756418323,4,2,0.2043795620437956,0.09090909090909091,0.0,0.6929498314857483,0.9280573129653931,1
weber m_946,weber m_946,0,0,0,8.053948111635188,0,0.07142857142857142,143.9365041868487,90.67999763771469,0.2,0.0,0.3333333333333333,1,9.498957241287332,0.3333333333333333,0.3333333333333333,2,6.654201911883185,156,1828.205545505835,0.0,2,0,0.03546099290780142,0.0,0.0,0.7403340339660645,0.9041856527328491,1
weber m_946,weber m_946,0,0,0,8.053948111635188,0,0.2142857142857143,190.5887412310352,116.0764856697904,0.4,0.0,0.3333333333333333,1,9.498957241287332,0.1666666666666667,0.1666666666666667,0,0.0,0,0.0,0.0,2,2,0.05825242718446602,0.0,0.0,0.7939941883087158,0.8904440402984619,1
weber m_946,weber m_940,0,0,0,8.053948111635188,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,11.38869843249168,201,2187.04565791062,0.0,2,3,0.04659498207885305,0.0,0.0,0.7961247563362122,0.0,0
weber m_946,weber m_947,0,0,0,8.053948111635188,0,0.0625,5.107000705374776,3.115270430278613,0.2,0.0,0.0,0,0.0,0.0,0.0,1,14.31520144012556,116,1308.93300055956,0.0,2,4,0.0,0.0,0.0,0.7621355652809143,0.0,0
weber m_946,weber m_947,0,0,0,8.053948111635188,0,0.05263157894736842,8.094404609175514,4.937586811597064,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,56,602.2718412213568,0.0,2,4,0.0,0.0,0.0,0.6267496943473816,0.0,0
weber m_946,weber m_947,0,0,0,8.053948111635188,0,0.0625,5.107000705374776,3.115270430278613,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,135,1387.969978780506,0.0,2,4,0.00911854103343465,0.0,0.0,0.7371304035186768,0.0,0
weber m_946,weber m_947,0,0,0,8.053948111635188,0,0.06666666666666667,5.107000705374776,3.115270430278613,0.2,0.0,0.0,0,0.0,0.0,0.0,1,3.004282652791131,159,1775.17146378919,0.0,2,4,0.0,0.0,0.0,0.7064173817634583,0.0,0
weber m_946,weber m_947,0,0,0,8.053948111635188,0,0.07142857142857142,5.107000705374776,2.706710373848631,0.2,0.0,0.0,0,0.0,0.0,0.0,1,3.004282652791131,51,539.521957838789,0.0,2,5,0.01714285714285714,0.0,0.0,0.6507673263549805,0.8335443139076233,0
weber m_946,weber m_943,0,0,0,8.053948111635188,0,0.06666666666666667,5.107000705374776,2.706710373848631,0.2,0.0,0.0,0,0.0,0.0,0.0,2,6.654201911883185,94,1015.677797824037,0.0,2,5,0.0,0.0,0.0,0.746381402015686,0.0,0
